/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
,TARA_20171227T2255Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I25-S04) * LATITUDE START: 4.653117 * LONGITUDE START: 131.955067 * LATITUDE END: 4.653117 * LONGITUDE END: 131.955067 * DATE/TIME START: 2017-12-27T22:55:00 * DATE/TIME END: 2017-12-27T23:13:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171228T0455Z_D_S-SRF_ZODIAC-PUMP (OA000-I25-S04) * LATITUDE START: 4.653117 * LONGITUDE START: 131.955067 * LATITUDE END: 4.653117 * LONGITUDE END: 131.955067 * DATE/TIME START: 2017-12-28T04:55:00 * DATE/TIME END: 2017-12-28T05:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171229T0001Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I25-S05) * LATITUDE START: 5.320067 * LONGITUDE START: 132.220100 * LATITUDE END: 5.320067 * LONGITUDE END: 132.220100 * DATE/TIME START: 2017-12-29T00:01:00 * DATE/TIME END: 2017-12-29T00:09:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171229T0600Z_D_S-SRF_ZODIAC-PUMP (OA000-I25-S05) * LATITUDE START: 5.320067 * LONGITUDE START: 132.220083 * LATITUDE END: 5.320067 * LONGITUDE END: 132.220083 * DATE/TIME START: 2017-12-29T06:00:00 * DATE/TIME END: 2017-12-29T06:09:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171230T0545Z_D_I-SRF_DOLPHIN-CARBOY (OA167-I26-S00) * LATITUDE START: 6.449133 * LONGITUDE START: 133.427817 * LATITUDE END: 6.446667 * LONGITUDE END: 133.436650 * DATE/TIME START: 2017-12-30T05:45:00 * DATE/TIME END: 2017-12-30T06:00:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180105T2323Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I26-S01) * LATITUDE START: 7.778967 * LONGITUDE START: 134.579533 * LATITUDE END: 7.778967 * LONGITUDE END: 134.579533 * DATE/TIME START: 2018-01-05T23:23:00 * DATE/TIME END: 2018-01-05T23:36:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180106T0450Z_D_S-SRF_ZODIAC-PUMP (OA000-I26-S01) * LATITUDE START: 7.778800 * LONGITUDE START: 134.579333 * LATITUDE END: 7.778800 * LONGITUDE END: 134.579333 * DATE/TIME START: 2018-01-06T04:50:00 * DATE/TIME END: 2018-01-06T05:25:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180106T0636Z_D_C-COL_SCUBA-CORER (OA000-I26-S01) * LATITUDE START: 7.778867 * LONGITUDE START: 134.579833 * LATITUDE END: 7.778867 * LONGITUDE END: 134.579833 * DATE/TIME START: 2018-01-06T06:36:00 * DATE/TIME END: 2018-01-06T07:36:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180107T0007Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I26-S02) * LATITUDE START: 7.783617 * LONGITUDE START: 134.558500 * LATITUDE END: 7.783617 * LONGITUDE END: 134.558500 * DATE/TIME START: 2018-01-07T00:07:00 * DATE/TIME END: 2018-01-07T00:24:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180107T0529Z_D_S-SRF_ZODIAC-PUMP (OA000-I26-S02) * LATITUDE START: 7.783533 * LONGITUDE START: 134.558500 * LATITUDE END: 7.783533 * LONGITUDE END: 134.558500 * DATE/TIME START: 2018-01-07T05:29:00 * DATE/TIME END: 2018-01-07T05:33:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180107T2355Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I26-S03) * LATITUDE START: 7.709217 * LONGITUDE START: 134.564867 * LATITUDE END: 7.709217 * LONGITUDE END: 134.564867 * DATE/TIME START: 2018-01-07T23:55:00 * DATE/TIME END: 2018-01-08T00:14:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180108T0540Z_D_S-SRF_ZODIAC-PUMP (OA000-I26-S03) * LATITUDE START: 7.709217 * LONGITUDE START: 134.564867 * LATITUDE END: 7.709217 * LONGITUDE END: 134.564867 * DATE/TIME START: 2018-01-08T05:40:00 * DATE/TIME END: 2018-01-08T05:54:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180305T0130Z_D_O-SRF_DOLPHIN-CARBOY (OA169-I00-S00) * LATITUDE START: 18.091500 * LONGITUDE START: 112.022083 * LATITUDE END: 18.079450 * LONGITUDE END: 112.033983 * DATE/TIME START: 2018-03-05T01:30:00 * DATE/TIME END: 2018-03-05T01:47:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180315T2257Z_D_S-SRF_ZODIAC-PUMP (OA000-I27-S01) * LATITUDE START: 22.531400 * LONGITUDE START: 114.313717 * LATITUDE END: 22.531400 * LONGITUDE END: 114.313717 * DATE/TIME START: 2018-03-15T22:57:00 * DATE/TIME END: 2018-03-15T23:42:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180316T0156Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I27-S01) * LATITUDE START: 22.531400 * LONGITUDE START: 114.313717 * LATITUDE END: 22.531400 * LONGITUDE END: 114.313717 * DATE/TIME START: 2018-03-16T01:56:00 * DATE/TIME END: 2018-03-16T02:11:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180316T2308Z_D_S-SRF_ZODIAC-PUMP (OA000-I27-S02) * LATITUDE START: 22.187167 * LONGITUDE START: 114.134600 * LATITUDE END: 22.187167 * LONGITUDE END: 114.134600 * DATE/TIME START: 2018-03-16T23:08:00 * DATE/TIME END: 2018-03-16T23:23:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180321T0140Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I28-S01) * LATITUDE START: 21.933233 * LONGITUDE START: 120.809833 * LATITUDE END: 21.933233 * LONGITUDE END: 120.809833 * DATE/TIME START: 2018-03-21T01:40:00 * DATE/TIME END: 2018-03-21T02:50:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180321T0749Z_D_S-SRF_ZODIAC-PUMP (OA000-I28-S01) * LATITUDE START: 21.933150 * LONGITUDE START: 120.810383 * LATITUDE END: 21.933150 * LONGITUDE END: 120.810383 * DATE/TIME START: 2018-03-21T07:49:00 * DATE/TIME END: 2018-03-21T07:58:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180322T0045Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I28-S02) * LATITUDE START: 22.008417 * LONGITUDE START: 121.569267 * LATITUDE END: 22.008417 * LONGITUDE END: 121.569267 * DATE/TIME START: 2018-03-22T00:45:00 * DATE/TIME END: 2018-03-22T00:54:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180322T0236Z_D_S-SRF_ZODIAC-PUMP (OA000-I28-S02) * LATITUDE START: 22.008233 * LONGITUDE START: 121.569200 * LATITUDE END: 22.008233 * LONGITUDE END: 121.569200 * DATE/TIME START: 2018-03-22T02:36:00 * DATE/TIME END: 2018-03-22T02:47:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180323T0121Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I28-S03) * LATITUDE START: 22.642783 * LONGITUDE START: 121.485350 * LATITUDE END: 22.642783 * LONGITUDE END: 121.485350 * DATE/TIME START: 2018-03-23T01:21:00 * DATE/TIME END: 2018-03-23T01:32:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180323T0646Z_D_S-SRF_ZODIAC-PUMP (OA000-I28-S03) * LATITUDE START: 22.642850 * LONGITUDE START: 121.485333 * LATITUDE END: 22.642850 * LONGITUDE END: 121.485333 * DATE/TIME START: 2018-03-23T06:46:00 * DATE/TIME END: 2018-03-23T06:57:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180324T2220Z_D_C-COL_SCUBA-CORER (OA000-I28-S03) * LATITUDE START: 22.642783 * LONGITUDE START: 121.485350 * LATITUDE END: 22.642783 * LONGITUDE END: 121.485350 * DATE/TIME START: 2018-03-24T22:20:00 * DATE/TIME END: 2018-03-24T23:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180524T2226Z_D_O-SRF_DOLPHIN-CARBOY (OA173-I00-S00) * LATITUDE START: 34.873817 * LONGITUDE START: 148.470650 * LATITUDE END: 34.881717 * LONGITUDE END: 148.533533 * DATE/TIME START: 2018-05-24T22:26:00 * DATE/TIME END: 2018-05-24T22:55:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180531T2105Z_D_O-SRF_DOLPHIN-CARBOY (OA179-I00-S00) * LATITUDE START: 32.531050 * LONGITUDE START: 171.048000 * LATITUDE END: 32.533650 * LONGITUDE END: 171.078683 * DATE/TIME START: 2018-05-31T21:05:00 * DATE/TIME END: 2018-05-31T21:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180606T1912Z_D_O-SRF_DOLPHIN-CARBOY (OA185-I00-S00) * LATITUDE START: 30.770683 * LONGITUDE START: -170.334333 * LATITUDE END: 30.761700 * LONGITUDE END: -170.303383 * DATE/TIME START: 2018-06-06T19:12:00 * DATE/TIME END: 2018-06-06T19:26:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180611T1907Z_D_I-SRF_DOLPHIN-CARBOY (OA190-I29-S00) * LATITUDE START: 23.198917 * LONGITUDE START: -159.116383 * LATITUDE END: 23.191417 * LONGITUDE END: -159.096833 * DATE/TIME START: 2018-06-11T19:07:00 * DATE/TIME END: 2018-06-11T19:17:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180614T1830Z_D_S-SRF_ZODIAC-PUMP (OA000-I29-S01) * LATITUDE START: 21.351948 * LONGITUDE START: -158.131604 * LATITUDE END: 21.351948 * LONGITUDE END: -158.131604 * DATE/TIME START: 2018-06-14T18:30:00 * DATE/TIME END: 2018-06-14T19:30:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180615T1815Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I29-S02) * LATITUDE START: 21.272817 * LONGITUDE START: -157.723900 * LATITUDE END: 21.272817 * LONGITUDE END: -157.723900 * DATE/TIME START: 2018-06-15T18:15:00 * DATE/TIME END: 2018-06-15T19:15:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180615T1815Z_D_S-SRF_ZODIAC-PUMP (OA000-I29-S02) * LATITUDE START: 21.272817 * LONGITUDE START: -157.723900 * LATITUDE END: 21.272817 * LONGITUDE END: -157.723900 * DATE/TIME START: 2018-06-15T18:15:00 * DATE/TIME END: 2018-06-15T19:15:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180617T1825Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I29-S03) * LATITUDE START: 21.473079 * LONGITUDE START: -157.780075 * LATITUDE END: 21.473079 * LONGITUDE END: -157.780075 * DATE/TIME START: 2018-06-17T18:25:00 * DATE/TIME END: 2018-06-17T19:25:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180617T1825Z_D_S-SRF_ZODIAC-PUMP (OA000-I29-S03) * LATITUDE START: 21.473079 * LONGITUDE START: -157.780075 * LATITUDE END: 21.473079 * LONGITUDE END: -157.780075 * DATE/TIME START: 2018-06-17T18:25:00 * DATE/TIME END: 2018-06-17T19:25:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180618T0241Z_D_C-COL_SCUBA-CORER (OA000-I29-S03) * LATITUDE START: 21.459000 * LONGITUDE START: -157.798500 * LATITUDE END: 21.459000 * LONGITUDE END: -157.798500 * DATE/TIME START: 2018-06-18T02:41:00 * DATE/TIME END: 2018-06-18T03:41:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180620T1823Z_D_I-SRF_DOLPHIN-CARBOY (OA191-I29-S00) * LATITUDE START: 21.941017 * LONGITUDE START: -156.770000 * LATITUDE END: 21.992733 * LONGITUDE END: -156.715083 * DATE/TIME START: 2018-06-20T18:23:00 * DATE/TIME END: 2018-06-20T19:01:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20180626T1705Z_D_O-SRF_DOLPHIN-CARBOY (OA197-I00-S00) * LATITUDE START: 30.863267 * LONGITUDE START: -144.824333 * LATITUDE END: 30.885442 * LONGITUDE END: -144.759150 * DATE/TIME START: 2018-06-26T17:05:00 * DATE/TIME END: 2018-06-26T17:40:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
